"id","seed","demoQuestion1","demoQuestion2","demoQuestion3","demoQuestion3[other]","demoQuestion4","demoQuestion5","demoQuestion6","demoQuestion7","demoQuestion8","demoQuestion9","demoQuestion9[other]","demoQuestion10","demoQuestion10[other]","demoQuestion11[1]","demoQuestion11[2]","demoQuestion11[3]","demoQuestion11[4]","Z1[01]","Z1[02]","Z1[03]","Z1[04]","Z1[05]","Z1[06]","Z1[07]","Z1[08]","Z1[09]","Z1[10]","Z2[1]","Z3[1]","Z4[1]","Z5[1]","Z6[1]","Z7[1]","Z8[1]","Z9[1]","Z10[1]","Z11[1]","Z12","Z13","Z14","Z15","M1[01]","M1[02]","M1[03]","M1[04]","M1[05]","M1[06]","M1[07]","M1[08]","M1[09]","M1[10]","M2[1]","M3[1]","M4[1]","M5[1]","M6[1]","M7[1]","M8[1]","M9[1]","M10[1]","M11[1]","M12","M13","M14","M15","G1[01]","G1[02]","G1[03]","G1[04]","G1[05]","G1[06]","G1[07]","G1[08]","G1[09]","G1[10]","G2[1]","G3[1]","G4[1]","G5[1]","G6[1]","G7[1]","G8[1]","G9[1]","G10[1]","G11[1]","G12","G13","G14","G15","F1","F2","F3"
"1","1547114136","Female","55-64","Teacher","","Bangladesh ","Yes","University Laboratory School and College ","Many times a week","6-7 hours","Zoom","","Education","","Yes","No","No","No","2","3","2","2","1","0","2","3","-3","-1","6","2","6","5","7","1","7","2","2","2","Personal space","No help option","A help option can be included","Need some external options like help during connectivity  issues.","2","2","2","1","2","2","2","2","-2","-2","5","2","6","6","6","3","5","5","5","5","Team  activity panel","No breakout room option is visible","On meating breakout room","Yes","3","2","2","3","2","1","1","1","2","-1","5","2","6","2","6","6","6","2","6","2","On call help feature","No team seaction","Personal spcae ","Not enough ","Zoom","Microsoft Teams","Microsoft Teams"
"2","1310421751","Male","15-24","Student","","Bangladesh","Yes","East West University ","Once or twice a month","6-7 hours","Google Meet","","Other","Interviews ","No","Yes","No","No","2","0","-1","-2","-2","-2","-2","-2","2","1","5","3","5","2","4","2","6","3","6","4","Its Flexibility ","The Fonts ","The Fonts ","Yes","3","0","-1","-1","-3","-3","-3","-1","2","2","6","4","5","5","7","2","5","4","5","5","Its variety ","a bit of complicated ","complications ","Yes","3","3","3","2","2","1","3","2","0","0","7","1","6","1","6","2","7","1","7","4","its simplicity ","Features ","Features ","Yes","Google Meet","Google Meet","Microsoft Teams"
"8","2072764947","Female","25-34","Student","","Germany","Yes","Frankfurt university of applied sciences","Many times a day","6-7 hours","Zoom","","Education","","No","Yes","No","No","2","2","2","1","1","2","1","3","1","1","5","6","6","1","5","5","4","7","7","6","Easy to use","Nothing","Structured","Yes","3","3","3","3","3","3","3","3","0","-3","4","4","3","4","5","4","5","4","6","6","Easy to use","Nothing","Position of features","Yes","3","3","2","3","0","2","3","3","-2","1","4","4","4","4","5","1","3","3","1","1","Easy to use","Nothing","Nothing","Yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"9","1012068007","Male","25-34","IT Professional","","Bangladesh ","Yes","BRAC University ","Many times a day","4-5 hours","Slack","","Other","Work","Yes","Yes","No","No","2","1","2","3","1","1","3","3","-3","-3","7","1","7","1","6","3","6","2","7","3","Screen sharing","While screen sharing and watching a video the audio quality decreases ","Improve audio quality","Yes","1","1","2","-1","1","0","1","2","-1","-1","5","4","4","4","4","4","4","4","4","4","Na","Na","Na","Na","0","0","0","0","0","0","0","0","0","-1","3","3","5","4","5","6","4","5","4","6","Na","Na","Na","Na","Zoom","Zoom","Zoom"
"11","1179238958","Male","35-44","Other","Data Analyst","India","No","","Many times a day","4-5 hours","Skype","","Meetings","","No","Yes","No","No","3","3","2","3","2","3","1","3","-1","-3","1","7","7","6","6","1","6","1","7","5","This application has made life for people to attend courses online during Pandemic situation
","None","None","Yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","1","7","1","Virtual official meeting are possible very easily..","None","None","None","3","2","2","2","3","3","3","3","3","-3","7","2","7","1","6","1","6","3","5","7","Good and safe application for personal video calls","None","None","Yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"16","1904763161","Female","25-34","IT Professional","","Bangladesh","Yes","MyAlice Labs","Many times a day","10 hours or more","Google Meet","","Meetings","","No","No","Yes","No","3","3","2","3","2","3","2","1","-2","-2","5","1","7","1","7","2","5","3","7","1","It's very simple also there are many videos available online related to the software","I have to download the desktop software","Without login, I should be able to use this platform as a guest","yes","-2","-1","-2","-3","-3","-3","-1","-2","1","3","1","4","2","3","3","2","2","2","3","3","The first look is very complex","The interface and design","The color combination and the design","Do not think so","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","5","7","1","Easy to use, very simple","The recording option should be available ","The recording option should be available in free pack","Yes","Google Meet","Zoom","Google Meet"
"20","1953627168","Male","15-24","Student","","Bangladesh","Yes","University of Asia Pacific","Many times a day","6-7 hours","Google Meet","","Education","","No","No","Yes","No","2","3","2","1","3","3","3","2","-1","-2","5","6","4","1","5","3","6","4","5","1","Video calls, duh!","Unnecessary features make it difficult to find relevant ones.","Make it simpler and with less options. Too many is bad.","Yes.","2","2","-1","3","2","3","3","2","0","-2","1","1","5","1","4","4","6","7","4","1","Nothing","Too resource-hungry.","Don't know.","Maybe.","3","3","3","3","3","3","3","2","-3","-2","7","1","7","1","7","1","7","1","7","1","The right amount of features displayed in a simplistic way.","What's not to like?","If it works, don't change it.","Yes.","Google Meet","Google Meet","Google Meet"
"23","1345804475","Male","25-34","IT Professional","","Bangladesh","Yes","AST","Once or twice a month","0-1 hour","Slack","","Meetings","","No","Yes","No","No","3","3","2","3","1","2","2","2","0","-1","6","1","6","1","4","3","6","4","7","2","Simplicity","Nothing","I would like to remove topbar/ navbar and organize everything to sidebar","Yes","3","3","2","3","3","2","2","3","-2","1","6","2","6","1","2","1","6","1","7","7","Well instructed ui","Nothing","Color combination change","Yes","3","3","3","3","3","2","2","2","-2","0","7","1","7","1","4","1","7","2","7","7","Optimized use of space","Modals","Less use of modals","Yes","Zoom","Zoom","Zoom"
"24","920356988","Female","15-24","Student","","Bangladesh","Yes","European Standard School","Many times a day","8-9 hours","Skype","","Meetups","","No","Yes","No","No","3","0","0","0","0","0","0","0","3","3","6","1","7","1","7","1","7","7","7","1","Visual","Nothing","Nothing","Yes","3","0","0","0","0","0","0","0","0","3","7","1","7","1","7","1","7","7","7","1","Visuals","Nothing","Nothing","Yes","0","0","0","-3","-3","0","0","0","0","0","7","1","7","1","7","1","7","7","7","1","Visuals","Nothing","Nothing","Yes","Zoom","Zoom","Zoom"
"25","1878273351","Male","35-44","Other","Architect","Bangladesh","Yes","Stamford University Bangladesh","Once or twice a year","0-1 hour","Zoom","","Meetings","","No","Yes","No","No","2","2","2","3","3","1","0","2","-3","-1","6","2","6","2","6","2","6","2","6","1","Group of people meeting","User interface ","Design of the interface","Yes","2","2","2","2","2","2","2","2","-2","-2","6","2","6","1","6","2","6","6","6","2","Mass people communication","Interface","User interface","Yes","2","2","2","2","2","1","2","2","-2","2","6","2","6","2","6","2","6","6","6","2","Mass Communication","Look","User interface","Yes","Zoom","Zoom","Zoom"
"29","2097327178","Female","25-34","Student","","Bangladesh","No","","Many times a day","2-3 hours","Zoom","","Education","","No","Yes","No","No","2","3","3","1","0","0","1","2","-3","0","3","2","6","5","6","2","7","1","6","4","camera & audio control","anyone can join the meetings","privacy of the meetings","no","1","1","1","2","0","0","0","0","-1","-1","5","3","5","3","5","4","5","4","4","4","nothing","nothing","nothing","not sure","2","2","2","-2","0","1","1","0","-1","-1","3","6","2","3","3","5","3","6","4","4","call duration","the software is a bit complicated to use","chatting system","yes","Zoom","Zoom","Zoom"
"30","1809563057","Male","25-34","Student","","Bangladesh","Yes","United International University","Many times a day","4-5 hours","Google Meet","","Education","","Yes","Yes","Yes","No","2","2","2","2","0","0","-1","0","-1","-1","3","3","3","2","4","4","5","4","3","3","low data transmition","too heavy","performance","no","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","fast","less marketing","marketing","yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","4","7","1","lite web app","less feature","sharing digital white board","yes","Google Meet","Zoom","Microsoft Teams"
"31","2057182014","Female","25-34","Other","Private Service ","Bangladesh","No","","Many times a day","6-7 hours","Google Meet","","Meetings","","Yes","No","Yes","No","1","2","1","1","-2","-1","-1","0","-1","0","4","4","4","1","5","5","4","5","7","3","Clearly written buttons / options","Colors, Design","Colors and UI","Yes","2","2","1","1","2","2","2","2","-2","-1","5","3","6","1","5","2","4","2","7","1","Appearance, simplicity ","Icons","Icons","Yes","1","0","0","-1","1","1","2","0","-2","-1","6","3","6","2","5","2","5","3","7","3","Simplicity ","Appearance ","Appearance and colors. ","Yes","Google Meet","Zoom","Microsoft Teams"
"33","752301133","Female","25-34","IT Professional","","Bangladesg","No","","Many times a day","4-5 hours","Skype","","Meetings","","Yes","No","No","No","3","3","3","3","2","2","0","3","-3","-3","6","1","7","1","7","4","3","1","7","2","Its UI.. I finf it attractive.","Nothing.","Profile visibility can be change and more information could be add.","I agree.","3","3","3","3","2","3","0","0","-3","-3","7","1","7","1","7","7","7","7","7","7","Its UI.","Nothing.","More user information could be add.","Yes,but for future we could add more features.","1","3","2","3","-3","-3","-3","0","0","1","5","1","1","1","4","3","5","2","7","1","Most easier, user friendly."," Internet connection need tp be very strong, sometimes in remote area it cant easy to use.","More features for a total package.","no.","Google Meet","Zoom","Google Meet"
"38","2012422387","Female","25-34","IT Professional","","Bangladesh","No","","Many times a day","10 hours or more","Other","Facebook","Meetings","","Yes","No","No","No","2","2","2","3","3","1","2","3","-3","-3","7","2","7","1","7","1","7","1","7","1","Suitable","Nothing","Easier for meetings","Yes","3","3","3","3","3","3","3","3","3","3","7","1","7","7","7","1","7","1","7","7","Interface","Nothing","Nothing","Yes","3","3","3","3","3","3","3","3","-3","-3","7","7","7","7","7","7","7","1","7","7","Felxibility","More menu navigation","Menu navigation","Yes","Zoom","Microsoft Teams","Microsoft Teams"
"40","1062583732","Male","25-34","Student","","Bangladesh","Yes","Ahsanullah University of Science & Technology","Many times a day","4-5 hours","Zoom","","Education","","No","Yes","No","No","0","2","0","-1","0","0","2","0","-2","-2","6","4","4","1","4","4","2","6","5","2","Virtual Background","We can not copy the text from the chat","I will try to lessen the data consumption","Yes.","0","-2","1","-1","0","-2","0","1","-2","0","4","6","3","5","4","6","3","4","2","4","Assignments ","Calls","Everything seems okay to me. ","No.","0","1","2","3","0","0","-3","0","-3","0","7","2","7","1","4","4","7","4","6","1","Google calendar integration ","Can't create multiple meetings for later without the calendar ","Nil","Yes","Google Meet","Zoom","Google Meet"
"41","1669255008","Male","25-34","Student","","Bangladesh ","Yes","United International University ","Many times a day","10 hours or more","Other","Discord ","Meetups","","No","Yes","No","No","-1","-2","-3","-1","-3","-3","-2","-3","3","1","1","5","4","3","3","6","4","4","4","4","I really don't like zoom","If you sit idly few minutes it changes audio output ","Audio output changes","Nope","-3","-3","-2","-1","-1","-3","-3","-2","-1","-1","1","6","1","5","4","4","4","4","2","3","Never used this","Never used this ","Never used this ","Never used this ","3","3","3","3","0","0","0","2","-3","0","6","1","7","2","5","3","6","3","7","1","Pin system","Grid view ","I don't know ","Yes","Google Meet","Google Meet","Google Meet"
"42","1560507358","Female","25-34","Student","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","6-7 hours","Zoom","","Meetings","","No","No","Yes","No","1","1","1","2","1","0","1","2","-2","-1","4","3","6","3","6","3","2","6","4","2","Able to create breakout rooms and conduct polls. I also like that the host is able to control who is mute. ","The host is unable to unmute someone, so I dislike that. Software is very heavy. So when used with other heavy software everything crashes. ","Make the software a little lightweight. Also, free users cannot schedule meetings at all times. ","More or less. ","0","0","0","0","0","0","0","2","-1","-1","3","3","3","3","4","4","4","4","4","4","Never used it.","Never used it.","Never used it.","Never used it.","0","2","1","-1","0","0","0","1","-1","-1","6","4","6","1","4","3","5","4","7","2","Can continue a meeting for as long as I want to and no need to buy the software.","The interface can be improved. Some features are hard to find. ","The interface.","Yes. But can be improved. ","Google Meet","Zoom","Zoom"
"43","1894919278","Male","25-34","IT Professional","","Bangladesh","No","","Many times a day","6-7 hours","Zoom","","Meetings","","No","Yes","No","No","3","0","3","3","0","0","-2","3","2","-2","7","1","7","1","5","1","7","4","7","1","Very simple to learn","less scecure","I would recommend free meeting for education.","Not very much ","3","0","0","-1","2","3","0","3","-3","-3","7","5","3","4","7","1","1","4","7","7","Many things in a one place ","Frequent crash ","less compiling time ","Might be ","3","3","0","3","0","-1","-3","2","-2","-2","4","1","7","1","7","3","7","1","7","1","Easy to jump into a meeting ","Screen mirroring issue while mid level internet connection","Enable Screen sharing even in low level internet connection","Yes","Zoom","Microsoft Teams","Microsoft Teams"
"44","248107394","Male","25-34","IT Professional","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","2-3 hours","Google Meet","","Meetings","","No","No","Yes","No","3","2","3","1","0","3","2","1","-3","-3","5","1","6","1","7","1","5","1","7","3","Schedule view on dashboard","Complicated contacts view","Add invitation by email option in meeting details view","Yes","-2","0","-1","-2","1","-1","0","2","1","3","1","5","5","5","4","4","1","3","2","6","Tabs at the top of a channel","The message box","The message box","Somewhat","3","2","3","3","1","3","3","2","-3","-1","7","3","6","1","7","2","7","1","6","2","Audio/video settings","No schedule/bookmark view","Add option to bookmark meetings","Yes","Google Meet","Microsoft Teams","Google Meet"
